Var1,Var2,Corr,Abs_Corr
pcapi2022,paind2022,-0.3257004174108254,0.3257004174108254
pvoixNUPratio,pvoteDratio,-0.32499828216563803,0.32499828216563803
pvoixDVGratio,pvoteDCDratio,-0.3220591432650926,0.3220591432650926
pvoixLRratio,pvoixENSratio,-0.31313429477942445,0.31313429477942445
perpropri2022,pop2022,-0.30853957925663567,0.30853957925663567
pvoteGratio,pvoixRNratio,-0.3066451000745797,0.3066451000745797
perpropri2022,peretr2022,-0.30597551630599207,0.30597551630599207
pvoixDVDratio,pvoteTGratio,-0.305810494529573,0.305810494529573
pvoteTDratio,pvoixDVDratio,0.3058104936711225,0.3058104936711225
pouem2022,pindp2022,-0.3047326020637417,0.3047326020637417
pouvr2022,psup2022,-0.3009686942381755,0.3009686942381755
perimmigre2022,perpropri2022,-0.2977510484447211,0.2977510484447211
capitalratio2022,popagglo2022,0.29557310620120647,0.29557310620120647
psup2022,capitalratio2022,0.2922459306030332,0.2922459306030332
pvoixRNratio,pvoixNUPratio,-0.28842729054966015,0.28842729054966015
pbac2022,pouvr2022,-0.2877971542128426,0.2877971542128426
perpropri2022,nmencomp,-0.2846478087856803,0.2846478087856803
paica2022,ppint2022,-0.2840001888544987,0.2840001888544987
pagri2022,pouem2022,-0.27885378136597117,0.27885378136597117
pcadr2022,pouvr2022,-0.2762686639259113,0.2762686639259113
pvoixRECratio,pvoteDratio,0.2735825942088515,0.2735825942088515
pparratio,pvoixRNratio,-0.2724029118942559,0.2724029118942559
pvoixRNratio,pabs,0.2724029103282582,0.2724029103282582
psup2022,prixm2ratio2022,0.2714421424043283,0.2714421424043283
pparratio,pvoteDratio,-0.2691525269452287,0.2691525269452287
pabs,pvoteDratio,0.26915252531962286,0.26915252531962286
pcadr2022,pbac2022,0.26678535405425585,0.26678535405425585
paind2022,ppint2022,-0.265655519878308,0.265655519878308
peretr2022,perrsa2021,0.2654812907022183,0.2654812907022183
pempl2022,paind2022,-0.26546671553709805,0.26546671553709805
paind2022,pouvr2022,-0.2645762964559035,0.2645762964559035
pcadr2022,capitalratio2022,0.2642072446557549,0.2642072446557549
perimmigre2022,popagglo2022,0.26412116254749046,0.26412116254749046
psup2022,ppint2022,0.2609597400148398,0.2609597400148398
part_etranger,perpropri2022,-0.25979556483156524,0.25979556483156524
pvoteTDratio,pvoteCratio,-0.25914761766675865,0.25914761766675865
pvoteTGratio,pvoteCratio,0.2591476165625548,0.2591476165625548
pvoteCGratio,pvoteCDratio,-0.2575065047054273,0.2575065047054273
prixm2ratio2022,perpropri2022,-0.2569100987189654,0.2569100987189654
revratio2022,pcadr2022,0.25547408726684867,0.25547408726684867
pcapi2022,capitalratio2022,0.25412883160754085,0.25412883160754085
pvoteGratio,pvoixLRratio,-0.25183568136905726,0.25183568136905726
pvoixENSratio,revratio2022,0.25172241815933705,0.25172241815933705
pcapi2022,pagri2022,-0.25135765113451786,0.25135765113451786
popagglo2022,part_etranger,0.2505244629105679,0.2505244629105679
psup2022,revratio2022,0.24406040555499225,0.24406040555499225
pbac2022,capitalratio2022,0.24399368192836646,0.24399368192836646
pcadr2022,prixm2ratio2022,0.24263195663505288,0.24263195663505288
revratio2022,pvoteCratio,0.24147548274703665,0.24147548274703665
perimmigre2022,perrsa2021,0.24097534784761665,0.24097534784761665
capitalratio2022,pvoixENSratio,0.23870484499666475,0.23870484499666475
revratio2022,pcapi2022,0.23844802031534662,0.23844802031534662
pvoteCratio,capitalratio2022,0.23740449238426098,0.23740449238426098
pvoteTGratio,peretr2022,0.23737879681328455,0.23737879681328455
pvoteTDratio,peretr2022,-0.23737879643181498,0.23737879643181498
peretr2022,popagglo2022,0.23727925285895915,0.23727925285895915
pvoteTGratio,perimmigre2022,0.23569552617597822,0.23569552617597822
pvoteTDratio,perimmigre2022,-0.2356955261018532,0.2356955261018532
pblancnulratio,pparratio,0.2348336868501072,0.2348336868501072
pblancnulratio,pabs,-0.23483368381206912,0.23483368381206912
pvoixLRratio,pvoixDVDratio,-0.23465590107818568,0.23465590107818568
capitalratio2022,pvoixECOratio,0.23454564279363393,0.23454564279363393
prixm2ratio2022,perimmigre2022,0.2336030289976961,0.2336030289976961
prixm2ratio2022,pcapi2022,0.23226499944757348,0.23226499944757348
pbac2022,ppint2022,0.23113492396986096,0.23113492396986096
pvoteCGratio,pvoixLRratio,-0.2289829024481315,0.2289829024481315
pvoteGCGratio,peretr2022,0.22864024101935368,0.22864024101935368
pvoteCDratio,pvoteDratio,-0.2276907884806861,0.2276907884806861
prixm2ratio2022,pvoixECOratio,0.22695415005225508,0.22695415005225508
pparratio,perrsa2021,-0.22616988524058845,0.22616988524058845
pabs,perrsa2021,0.22616988377527736,0.22616988377527736
pvoteGCGratio,perimmigre2022,0.22601173483887418,0.22601173483887418
pempl2022,pouvr2022,-0.2259915454468522,0.2259915454468522
pvoixNUPratio,pvoixLRratio,-0.22474863891607447,0.22474863891607447
prixm2ratio2022,pvoixENSratio,0.2237843369133381,0.2237843369133381
pvoixDVDratio,pvoteCratio,-0.22281704175711903,0.22281704175711903
pvoixENSratio,pvoixDVDratio,-0.22242185370746856,0.22242185370746856
prixm2ratio2022,pvoteCratio,0.22201276690651733,0.22201276690651733
pvoteTDratio,pvoixENSratio,-0.22164960088475,0.22164960088475
pvoixENSratio,pvoteTGratio,0.22164960028149572,0.22164960028149572
prixm2ratio2022,pbac2022,0.2212604154599301,0.2212604154599301
pvoixRNratio,pvoixREGratio,-0.22107430514203621,0.22107430514203621
perpropri2022,pabs,-0.2206858299916117,0.2206858299916117
pparratio,perpropri2022,0.22068582940862663,0.22068582940862663
perrsa2021,nmencomp,0.22033003641084886,0.22033003641084886
prixm2ratio2022,pvoteDCDratio,-0.2199614107556028,0.2199614107556028
pempl2022,pcadr2022,-0.21850078073137771,0.21850078073137771
pvoteCDratio,pvoixDVGratio,-0.2184265841579821,0.2184265841579821
pvoteGCGratio,pvoixDVDratio,-0.2163763193536437,0.2163763193536437
