dep,codecommune,ppropri2022,nlogement2022,npropri2022,perpropri2022
1,1147,.84549356,233,197,.91524166
1,1148,.59080458,870,514,.51605362
1,1149,.87889272,578,508,.95929104
1,1150,.90789473,76,69,.9832418
1,1151,.87539935,626,548,.95560133
1,1152,.84840423,376,319,.91943645
1,1153,.8523035,738,629,.92461479
1,1154,.67597765,358,242,.63782269
1,1155,.76595747,94,72,.77515763
1,1156,.87290972,299,261,.95269364
1,1157,.82939363,973,807,.88909936
1,1158,.73265308,490,359,.71777862
1,1159,.73481387,1531,1125,.7218315
1,1160,.39477241,4438,1752,.22678925
1,1161,,0,0,1.0000014
1,1162,.92000002,25,23,.98967338
1,1163,.79448909,871,692,.82676005
1,1164,,0,0,1.0000014
1,1165,.84658039,541,458,.91681147
1,1166,.87969923,798,702,.96012861
1,1167,.87796611,295,259,.95827621
1,1169,.81818181,275,225,.86845386
1,1170,.82618511,443,366,.88296199
1,1171,.76258993,417,318,.76930773
1,1172,.89583331,96,86,.97484082
1,1173,.49438617,5433,2686,.39250875
1,1174,.80722892,83,67,.84853542
1,1175,.76294279,367,280,.7698257
1,1176,.73076922,52,38,.71501482
1,1177,.79452056,73,58,.82676691
1,1178,,0,0,1.0000014
1,1179,.8120482,830,674,.85741508
1,1180,.77950311,322,251,.79993647
1,1181,.77399379,646,500,.78989947
1,1182,.71098268,173,123,.68542922
1,1183,.82296652,627,516,.87688911
1,1184,.83195591,363,302,.89366376
1,1185,.45824984,1497,686,.3336792
1,1186,.85000002,40,34,.92183059
1,1187,.61333334,150,92,.54406607
1,1188,.84188032,234,197,.9095999
1,1189,.63852245,379,242,.58043659
1,1190,.77083331,48,37,.78355682
1,1191,.78571427,70,55,.81081545
1,1192,.528,1250,660,.4407658
1,1193,.84375,96,81,.91259056
1,1194,.57701629,2889,1667,.50009763
1,1195,.78503186,628,493,.80996478
1,1196,.81834215,567,464,.86897743
1,1197,.83977902,181,152,.90616316
1,1198,.56310678,103,58,.48304522
1,1199,.66856062,1056,706,.62634528
1,1200,.62318838,69,43,.55877644
1,1201,,0,0,1.0000014
1,1202,.56221443,3721,2092,.48245263
1,1203,.78276479,557,436,.8058672
1,1204,.74561405,114,85,.74009848
1,1205,.61264825,506,310,.54350102
1,1206,.86206895,116,100,.93951523
1,1207,.7972973,148,118,.83088791
1,1208,.79746836,79,63,.83119559
1,1209,.79565215,230,183,.82841533
1,1210,.70833331,120,85,.6812399
1,1211,.71803278,610,438,.6962046
1,1212,.77469134,324,251,.79161561
1,1213,.7327044,636,466,.71811628
1,1214,.84146339,82,69,.90889049
1,1215,.71875,32,23,.69704223
1,1216,.74170613,422,313,.73419172
1,1217,,0,0,1.0000014
1,1218,.80434781,46,37,.8436476
1,1219,.73913044,92,68,.72886467
1,1221,.78260869,46,36,.80544049
1,1222,,0,0,1.0000014
1,1223,,0,0,1.0000014
1,1224,.65834767,1162,765,.61049068
1,1225,.8973214,224,201,.97600359
1,1226,,0,0,1.0000014
1,1227,.81276596,235,191,.85867327
1,1228,.68821293,263,181,.65309799
1,1229,.75714284,490,371,.75979066
1,1230,.82208592,163,134,.87552971
1,1231,.79191321,1014,803,.82147586
1,1232,.72735763,1071,779,.70972496
1,1233,.92307693,65,60,.99104404
1,1234,.88,75,66,.96037316
1,1235,.56476682,386,218,.48518601
1,1236,.79130435,460,364,.82069027
1,1237,.71936756,759,546,.69797599
1,1238,.83637947,1149,961,.9010179
1,1239,.80937499,320,259,.85286766
1,1240,.87671232,365,320,.95692056
1,1241,.80427045,562,452,.84352267
1,1242,.66129035,62,41,.61469835
1,1243,.86491555,533,461,.9431057
1,1244,.46528143,3802,1769,.34782058
1,1245,.82692307,468,387,.88428032
1,1246,.6214149,1046,650,.5550369
1,1247,.64903843,208,135,.59569216
1,1248,.8239609,818,674,.87896615
1,1249,.57206208,4059,2322,.49356338
1,1250,.84040993,683,574,.90726501
1,1251,,0,0,1.0000014
1,1252,.86486489,333,288,.94302905
1,1253,,0,0,1.0000014
1,1254,.93068033,779,725,.99351364
1,1255,.80223882,268,215,.8401134
1,1257,.78285712,175,137,.8061288
1,1258,.85714287,497,426,.93272465
1,1259,.79591835,343,273,.8287763
1,1260,.6785714,84,57,.64090955
1,1261,.81777775,225,184,.86764205
1,1262,.46250448,2787,1289,.34574023
1,1263,.69886106,2195,1534,.66750205
1,1264,.75757575,528,400,.76045561
1,1265,.41819292,1638,685,.25995368
1,1266,.58848614,1407,828,.51354188
1,1267,.76516634,511,391,.7736609
1,1268,.73949581,119,88,.72942036
1,1269,.3480055,1454,506,.15188862
