dep;codecommune;nfoyisf2017;mmoyfortune2017;pisf2017;perpisf2017;misf2017;permisf2017;pop2017
33;33199;102;2312495;.0048222388;.56041175;11151.403;.44749907;21152
33;33243;125;2600354;.0050311936;.57116157;13082.884;.585567;24845
33;33281;293;2387351;.0041794451;.41686428;9977.8027;.37723076;70105
33;33318;266;2335014;.0041687563;.40832695;9734.1045;.37024111;63808
33;33449;110;2325787;.0035318672;.30940396;8214.3701;.27306974;31145
33;33522;196;2485543;.0046002911;.50274444;11434.221;.47988427;42606
33;33529;332;2479844;.012731038;.85793489;31570.988;.84838796;26078
33;33550;93;2196370;.0027280727;.19298139;5991.8569;.179278;34090
34;34003;179;2284252;.0062567722;.67274117;14292.045;.60559142;28609
34;34032;289;2672889;.003744639;.34046939;10009.004;.38069379;77177
34;34108;52;2290860;.0022845094;.13062119;5233.4907;.11378481;22762
34;34145;63;2253801;.0024010062;.15825635;5411.3901;.13059409;26239
34;34172;1218;2516789;.0042718705;.44770679;10751.396;.42993748;285121
34;34301;249;2590709;.0057600224;.60885561;14922.541;.61259043;43229
35;35115;76;2312903;.003722206;.33424073;8609.1016;.29758328;20418
35;35238;1277;2757362;.0058898139;.62596923;16240.349;.67716157;216815
35;35288;483;2663816;.010477905;.82220519;27911.211;.82330722;46097
36;36044;145;2701742;.0033149677;.26730978;8956.1875;.32059234;43741
37;37122;89;2406464;.0023487187;.14248849;5652.1069;.14025736;37893
37;37261;691;2452452;.0050888523;.5791834;12480.166;.5296858;135787
38;38053;86;2538748;.0030295558;.23493563;7691.2788;.25294214;28387
38;38185;709;2523982;.0044744848;.47528052;11293.519;.46650976;158454
38;38544;146;2378705;.004981915;.56481099;11850.506;.49733919;29306
38;38563;108;2789975;.0053709964;.59007967;14984.946;.61349273;20108
39;39198;65;2397832;.0027416905;.2017884;6574.1133;.19300827;23708
40;40088;105;2639766;.0050771241;.57309049;13402.419;.58987039;20681
40;40192;91;2325564;.0030791094;.23722653;7160.666;.2301992;29554
41;41018;166;2444366;.0036019615;.32076445;8804.5127;.30840296;46086
42;42187;108;2408761;.0031426409;.24561761;7569.8711;.24471341;34366
42;42207;72;2679118;.0020590844;.11097726;5516.5298;.1375148;34967
42;42218;471;2544960;.0027294063;.20072459;6946.23;.21468472;172565
44;44109;2188;2769962;.0070729861;.72155672;19591.902;.72133678;309346
44;44114;179;2657146;.0067918799;.7004742;18047.018;.69931483;26355
44;44143;78;2135667;.0018835575;.083277032;4022.6516;.055246416;41411
44;44162;83;2621292;.0017938964;.06448517;4702.3262;.092046566;46268
44;44184;181;2411712;.0025859729;.1697682;6236.6221;.18481174;69993
44;44190;96;2396001;.0035770177;.31589004;8570.5381;.29344749;26838
44;44215;187;2602291;.0077212108;.73244041;20092.836;.72242355;24219
45;45232;194;2438391;.0088378666;.76165998;21550.174;.73355097;21951
45;45234;587;2439518;.0050306381;.57004678;12272.332;.51655167;116685
45;45284;68;2109774;.0032769504;.26347414;6913.625;.20694153;20751
46;46042;82;2377561;.0041251634;.40252855;9807.8281;.37408507;19878
47;47001;119;2647385;.0035441983;.31373677;9382.8574;.33790976;33576
47;47323;62;2318727;.0028100072;.20912918;6515.6396;.18989319;22064
49;49007;671;2474303;.0043867677;.46345812;10854.192;.43810299;152960
49;49023;57;2273971;.0024539349;.16271503;5580.1768;.13855706;23228
49;49099;196;2490956;.0036352172;.32469314;9055.166;.32542744;53917
49;49301;58;2533187;.0022822067;.12846033;5781.2563;.16012658;25414
49;49328;120;2488720;.0044886661;.4764801;11171.033;.44869867;26734
50;50129;162;2450622;.0020454545;.10602533;5012.6357;.10541997;79200
50;50502;57;2421166;.0029817955;.22308174;7219.4214;.23105696;19116
51;51108;121;2350793;.0027037293;.19145174;6355.9082;.18890314;44753
51;51230;91;2825229;.0040139384;.38626474;11340.296;.47797248;22671
51;51454;823;2638416;.0045105778;.49576756;11900.78;.50552636;182460
52;52448;54;3574163;.0022488756;.12597375;8037.8477;.26549777;24012
53;53130;213;3033284;.0042833011;.44993812;12992.469;.58445215;49728
54;54395;670;2758052;.0064246398;.68346065;17719.49;.6931752;104286
54;54547;68;2324338;.0022665155;.12731998;5268.1484;.11861438;30002
56;56121;151;2488651;.0026422159;.18019055;6575.5532;.19557261;57149
56;56260;462;2491242;.008659469;.76067495;21572.834;.73594499;53352
57;57463;404;2799108;.0034699258;.30019778;9712.6973;.36461157;116429
57;57480;107;2489913;.0049039829;.56349599;12210.49;.51131588;21819
57;57631;68;2699775;.003271905;.26254302;8833.4072;.30933553;20783
57;57672;227;2621327;.0055772588;.6034165;14619.818;.60964859;40701
58;58194;93;2697409;.0028190361;.21188633;7604.0933;.24925362;32990
59;59009;379;3471024;.0059771636;.6288144;20746.879;.72822404;63408
